x_m,y_m,w_tr_right_m,w_tr_left_m
6.434529558555822648e-01,3.196658983409101484e+00,6.456566037274306114e-01,6.530774027417257654e-01
6.550359317427157935e-01,3.132475103806417582e+00,6.427352785070087338e-01,6.552962218812664608e-01
6.664926869187973724e-01,3.068284144933270063e+00,6.420814860634744825e-01,6.562065693598952976e-01
6.778206743181079963e-01,3.004086821409626573e+00,6.435110508146522079e-01,6.558577753172770697e-01
6.890173468749282160e-01,2.939883847855451648e+00,6.467190942414533517e-01,6.543846255058990424e-01
7.000801575235390262e-01,2.875675938890714267e+00,6.513249832018057628e-01,6.519755524081565223e-01
7.110065591982210886e-01,2.811463809135379410e+00,6.569164214926427325e-01,6.488399529115547182e-01
7.217940048332551761e-01,2.747248173209413835e+00,6.630869794938872852e-01,6.451809999387927430e-01
7.324399473629221724e-01,2.683029745732783855e+00,6.694644710830414125e-01,6.411765116202812198e-01
7.429418397215026282e-01,2.618809241325455783e+00,6.757292013419006205e-01,6.369679587279973854e-01
7.532971348432772052e-01,2.554587374607397710e+00,6.816233723300332281e-01,6.326574998024481200e-01
7.635032856625270092e-01,2.490364860198573282e+00,6.869535093903875733e-01,6.283113909411803810e-01
7.735577451135325910e-01,2.426142412718950592e+00,6.915883288750145352e-01,6.239671468426100098e-01
7.834579661305747234e-01,2.361920746788495951e+00,6.954535764562832512e-01,6.196422641571521783e-01
7.932014016479342899e-01,2.297700577027176116e+00,6.985248965788827258e-01,6.153431955971488954e-01
8.027855045998920636e-01,2.233482618054956959e+00,7.008195630714790791e-01,6.110731592993406958e-01
8.122077279207283729e-01,2.169267584491803902e+00,7.023874506838387877e-01,6.068380076435672121e-01
8.214655245447245457e-01,2.105056190957685480e+00,7.033036053609397209e-01,6.026486383538136593e-01
8.305563474061609108e-01,2.040849152072567563e+00,7.036525625535401396e-01,5.985282989412913368e-01
8.394776494393183519e-01,1.976647182456415797e+00,7.035281670374500251e-01,5.945063826865929490e-01
8.482268835784776417e-01,1.912450996729197383e+00,7.030225507471964397e-01,5.906206883488868131e-01
8.568015027579198861e-01,1.848261309510877970e+00,7.022207836488716381e-01,5.869154950076870270e-01
8.651989599119253027e-01,1.784078835421426090e+00,7.011973671409780229e-01,5.834388157139349662e-01
8.734167079747749973e-01,1.719904289080805615e+00,7.000143244700777201e-01,5.802390680351071639e-01
8.814521998807498537e-01,1.655738385108983524e+00,6.987212109415210648e-01,5.773610203984849143e-01
8.893028885641298675e-01,1.591581838125927462e+00,6.973559052073273756e-01,5.748418410958227032e-01
8.969662269591965886e-01,1.527435362751603076e+00,6.959458537735156991e-01,5.727076220039355459e-01
9.044396680002304567e-01,1.463299673605976903e+00,6.945098416847810263e-01,5.709706996631457310e-01
9.117206646215122445e-01,1.399175485309014810e+00,6.930599101905482451e-01,5.696283075215768932e-01
9.188066697573229469e-01,1.335063512480684444e+00,6.916026054020353309e-01,5.686631685167710115e-01
9.256951363419430034e-01,1.270964469740951230e+00,6.901406300205653599e-01,5.680453525348134747e-01
9.323835173096532980e-01,1.206879071709782814e+00,6.886741375524838560e-01,5.677354791924119626e-01
9.388692655947344923e-01,1.142808033007144175e+00,6.872017968169699120e-01,5.676886176582400800e-01
9.451498341314674700e-01,1.078752068253002738e+00,6.857221026632450700e-01,5.678580433783025905e-01
9.512226758541331151e-01,1.014711892067324150e+00,6.842339239410867302e-01,5.681987651883171342e-01
9.570852436970120891e-01,9.506882190700760571e-01,6.827376943920385743e-01,5.686697079513597375e-01
9.627349905943848318e-01,8.866817638812241054e-01,6.812352809718708047e-01,5.692355286835876216e-01
9.681693694805323380e-01,8.226932411207348306e-01,6.797299129739883261e-01,5.698671686133864878e-01
9.733858332897354915e-01,7.587233654085746570e-01,6.782260989897351822e-01,5.705418958849677313e-01
9.783818349562750649e-01,6.947728513647100090e-01,6.767292758326755031e-01,5.712427905401222805e-01
9.831548274144317201e-01,6.308424136091073109e-01,6.752456137207707432e-01,5.719580681715737969e-01
9.877022635984860077e-01,5.669327667617336530e-01,6.737816751943112026e-01,5.726802278823915904e-01
9.920215964427189226e-01,5.030446254425545716e-01,6.723459765321921910e-01,5.734055046035084757e-01
9.961102788814114595e-01,4.391787042715370459e-01,6.709501991935489240e-01,5.741329200085217854e-01
9.999657638488437250e-01,3.753357178686475559e-01,6.696112857965632603e-01,5.748635770006728096e-01
1.003585504279296936e+00,3.115163808538521373e-01,6.683542723903147520e-01,5.756006234370426577e-01
1.006966953107051754e+00,2.477214078471178249e-01,6.672147511057879843e-01,5.763484570720798228e-01
1.010107563266389397e+00,1.839515134684103215e-01,6.662410160673093440e-01,5.771125532991278062e-01
1.013004787691589526e+00,1.202074123376964676e-01,6.654949990011010952e-01,5.778992464857771738e-01
1.015656079316934024e+00,5.648981907494271537e-02,6.650512505503650695e-01,5.787154149539333048e-01
1.018058891076702999e+00,-7.200551699884566448e-03,6.649933955130069574e-01,5.795681318404108939e-01
1.020210675905177444e+00,-7.086298536681834292e-02,6.654078105242303698e-01,5.804640429331813234e-01
1.022108886736638134e+00,-1.344967673058933277e-01,6.663746856780499161e-01,5.814087148614621725e-01
1.023750976505365617e+00,-1.981011828971413757e-01,6.679573007911248084e-01,5.824058084601150265e-01
1.025134398145640668e+00,-2.616755175205978112e-01,6.701909511477398551e-01,5.834564528936042604e-01
1.026256604591744503e+00,-3.252190565562955160e-01,6.730732833109467350e-01,5.845587083202333778e-01
1.027115048777957229e+00,-3.887310853842678160e-01,6.765590063106361463e-01,5.857075952625798720e-01
1.027707183638560062e+00,-4.522108893845487865e-01,6.805591626000682126e-01,5.868954014297996791e-01
1.028030462107833776e+00,-5.156577539371716146e-01,6.849475198978720591e-01,5.881125961705422345e-01
1.028082337120058698e+00,-5.790709644221693209e-01,6.895724572168137056e-01,5.893489469979247275e-01
1.027860261609516046e+00,-6.424498062195764803e-01,6.942734341515803820e-01,5.905947921459838712e-01
1.027361688510486148e+00,-7.057935647094254472e-01,6.988993635749564115e-01,5.918421549897889822e-01
1.026584070757250222e+00,-7.691015252717514628e-01,7.033250317611090541e-01,5.930854452921978659e-01
1.025524861284088818e+00,-8.323729732865862152e-01,7.074636866081087661e-01,5.943217730794748688e-01
1.024181513025282930e+00,-8.956071941339645015e-01,7.112740031847658573e-01,5.955506229500771020e-01
1.022551478915112888e+00,-9.588034731939197863e-01,7.147619637327088382e-01,5.967736811167390076e-01
1.020632211887859464e+00,-1.021961095846484868e+00,7.179759058666713711e-01,5.979938502831149139e-01
1.018421164877803653e+00,-1.085079347471693989e+00,7.209983877630949944e-01,5.992147863195709245e-01
1.015915790819226228e+00,-1.148157513449580280e+00,7.239377636036781194e-01,6.004405575990813260e-01
1.013113542646407739e+00,-1.211194879160177873e+00,7.269185094309479345e-01,6.016761158973427115e-01
1.010011873293629403e+00,-1.274190729983519788e+00,7.300731024415509918e-01,6.029278583798801661e-01
1.006608235695171549e+00,-1.337144351299639267e+00,7.335350146802961380e-01,6.042048857947017737e-01
1.002900082785314950e+00,-1.400055028488571107e+00,7.374321906036593877e-01,6.055211992545005417e-01
9.988848674983407117e-01,-1.462922046930346998e+00,7.418810643634988766e-01,6.068972117061827154e-01
9.945600427685292733e-01,-1.525744692005002623e+00,7.469792590052553027e-01,6.083620934909573785e-01
9.899230615301612968e-01,-1.588522249092569893e+00,7.527977500829261537e-01,6.099547198707162554e-01
9.849713767175181101e-01,-1.651254003573083384e+00,7.593711168184587024e-01,6.117254730208698810e-01
9.797024412648794867e-01,-1.713939240826575672e+00,7.666882817785891646e-01,6.137353443247182128e-01
9.741137081065267544e-01,-1.776577246233081109e+00,7.746843858771311764e-01,6.160542958613578479e-01
9.682026301767409082e-01,-1.839167305172632494e+00,7.832356753556695139e-01,6.187575185248355147e-01
9.619666604098026097e-01,-1.901708703025264402e+00,7.921598217310026335e-01,6.219201668909619674e-01
9.554032517399922986e-01,-1.964200725171010298e+00,8.012228063874275996e-01,6.256103706298546951e-01
9.485098571015909696e-01,-2.026642656989902314e+00,8.101536699080087445e-01,6.298831451182661523e-01
9.412839294288796177e-01,-2.089033783861975913e+00,8.186642740111669259e-01,6.347738230179207353e-01
9.337229216561383494e-01,-2.151373391167263449e+00,8.264749249341039050e-01,6.402943202619703067e-01
9.258242867176487145e-01,-2.213660764285798610e+00,8.333406956938733678e-01,6.464326188578692900e-01
9.175854775476905978e-01,-2.275895188597614194e+00,8.390750773873958401e-01,6.531554942097133054e-01
9.090039470805455490e-01,-2.338075949482746108e+00,8.435678861163841136e-01,6.604146050119519273e-01
9.000771482504938970e-01,-2.400202332321224485e+00,8.467944598639033371e-01,6.681545553117256286e-01
8.908025339918166363e-01,-2.462273622493086123e+00,8.488154635039122375e-01,6.763215120924755963e-01
8.811775572387943178e-01,-2.524289105378363374e+00,8.497673791060742499e-01,6.848700608069793194e-01
8.711996709257074922e-01,-2.586248066357089037e+00,8.498458230250935941e-01,6.937677163794729873e-01
8.608663279868372653e-01,-2.648149790809297244e+00,8.492841847118610676e-01,7.029961712640145910e-01
8.501749813564644098e-01,-2.709993564115022568e+00,8.483305707184456423e-01,7.125493100452526818e-01
8.391230839688698095e-01,-2.771778671654297366e+00,8.472259518226530339e-01,7.224285748851148048e-01
8.277080887583341262e-01,-2.833504398807154878e+00,8.461852441300121708e-01,7.326373923359207341e-01
8.159274486591376885e-01,-2.895170030953629237e+00,8.453834525458774340e-01,7.431744990042112864e-01
8.037786166055618242e-01,-2.956774853473754572e+00,8.449467279293743083e-01,7.540272833934729135e-01
7.912590455318866400e-01,-3.018318151747562794e+00,8.449494186502658488e-01,7.651672143559550276e-01
7.783661883723935748e-01,-3.079799211155089367e+00,8.454155085261887415e-01,7.765456552556253556e-01
7.650974980613631793e-01,-3.141217317076366200e+00,8.463246772826419351e-01,7.880922660032809723e-01
7.514504275330760041e-01,-3.202571754891427869e+00,8.476210158404160477e-01,7.997157635955739474e-01
7.374224297218130442e-01,-3.263861809980308504e+00,8.492230654788028854e-01,8.113076143378525895e-01
7.230109575618550721e-01,-3.325086767723040460e+00,8.510351993890239441e-01,8.227487004592332065e-01
7.082134639874824167e-01,-3.386245913499656979e+00,8.529572073256377340e-01,8.339182410493088948e-01
6.930274019329766277e-01,-3.447338532690191748e+00,8.548935207932890634e-01,8.447039113538181709e-01
6.774502243326177009e-01,-3.508363910674678898e+00,8.567587719795251022e-01,8.550109223678223902e-01
6.614793841206867420e-01,-3.569321332833153448e+00,8.584844207918078673e-01,8.647691784304496476e-01
6.451123342314645237e-01,-3.630210084545646421e+00,8.600222277299593987e-01,8.739359820120664590e-01
6.283465275992313748e-01,-3.691029451192192390e+00,8.613462022690493436e-01,8.824944379193462307e-01
6.111794171582687341e-01,-3.751778718152825043e+00,8.624549667916706630e-01,8.904477394084231445e-01
5.936084558428569302e-01,-3.812457170807578066e+00,8.633724008758958401e-01,8.978115476997091671e-01
5.756310965872770691e-01,-3.873064094536483815e+00,8.641467184231657050e-01,9.046054964199159443e-01
5.572447923258097013e-01,-3.933598774719578195e+00,8.648478159841840318e-01,9.108469019882196038e-01
5.384469959927351557e-01,-3.994060496736892230e+00,8.655611769486806217e-01,9.165475651842771576e-01
5.192351605223350930e-01,-4.054448545968460493e+00,8.663792824327266606e-01,9.217140954684968079e-01
4.996067388488894534e-01,-4.114762207794317561e+00,8.673897766612638227e-01,9.263520111104786015e-01
4.795591839066791762e-01,-4.175000767594494455e+00,8.686633887393216957e-01,9.304709025041643100e-01
4.590899486299854226e-01,-4.235163510749027083e+00,8.702417948101974776e-01,9.340918173008124770e-01
4.381964859530889100e-01,-4.295249722637947798e+00,8.721293563857923647e-01,9.372525861050913232e-01
