x_m,y_m,throttle,heading_rad
7.961339340374683493e-01,3.224362364695231520e+00,6.441382020193955338e-01,-2.926587655550596523e+00
8.056739826301221319e-01,3.175309101562189706e+00,6.537634865283264984e-01,-2.935135110948431603e+00
8.148112805149709814e-01,3.126181674314073344e+00,6.632491005154602659e-01,-2.943303684541266563e+00
8.235605559955692101e-01,3.076983175621665012e+00,6.726009532787333711e-01,-2.951099519457925258e+00
8.319359109371481376e-01,3.027720322369683359e+00,6.818245488161559509e-01,-2.958527209893391685e+00
8.399520520542346214e-01,2.978396514871762157e+00,6.909250237075281742e-01,-2.965599980793184098e+00
8.476232355435695531e-01,2.929017974052769979e+00,6.999071805619242470e-01,-2.972327325015166721e+00
8.549639694249724364e-01,2.879589574465441615e+00,7.087755176493018006e-01,-2.978719236495217082e+00
8.619888596364795319e-01,2.830115623253948609e+00,7.175342552351974268e-01,-2.984785321726243890e+00
8.687126586530513617e-01,2.780599338530722164e+00,7.261873590560655733e-01,-2.990542918996273336e+00
8.751500215211439615e-01,2.731044534071931817e+00,7.347385613057999532e-01,-2.996012117070890657e+00
8.813155374403673914e-01,2.681455518266432136e+00,7.431913794485310865e-01,-3.001213582129631519e+00
8.872238947832803424e-01,2.631835799621732974e+00,7.515491331267066810e-01,-3.006166691991431161e+00
8.928899000455154944e-01,2.582187743216093789e+00,7.598149593949818925e-01,-3.010889022549805727e+00
8.983284285319363960e-01,2.532512806487133172e+00,7.679918264781805393e-01,-3.015390440401724881e+00
9.035539924203337403e-01,2.482815592291910178e+00,7.760825462244241857e-01,-3.019675411795279096e+00
9.085812988254945433e-01,2.433098915284555019e+00,7.840897854015694834e-01,-3.023746655030609798e+00
9.134251037396605710e-01,2.383364969592531413e+00,7.920160759656162952e-01,-3.027607626518458606e+00
9.181005570341764788e-01,2.333611510274499423e+00,7.998638244131726083e-01,-3.031262117847249193e+00
9.226219855496052835e-01,2.283844770526063606e+00,8.076353203158962435e-01,-3.034713664168888769e+00
9.270041036992645589e-01,2.234067006080460605e+00,8.153327441227010697e-01,-3.037965957521520544e+00
9.312616318386544023e-01,2.184280356200546169e+00,8.229581743050783382e-01,-3.041023931317026197e+00
