x_m,y_m,w_tr_right_m,w_tr_left_m
3.141080881284448179e-01,-4.966184301776142007e+00,8.255898240445391778e-01,9.919323156844475076e-01
3.340659598263100438e-01,-4.904562459261343044e+00,8.160153420690255954e-01,9.963064134209174139e-01
3.536582565465433148e-01,-4.842971741376140393e+00,8.080198613861097057e-01,9.993369562005949280e-01
3.728873353993090167e-01,-4.781410787586028555e+00,8.014382765085836802e-01,1.001076749168611446e+00
3.917555534947718132e-01,-4.719878237356495809e+00,7.960403211176778626e-01,1.001629802936218283e+00
4.102652679430959792e-01,-4.658372730153038432e+00,7.915654336809430092e-01,1.001125870011513763e+00
4.284188358544463449e-01,-4.596892905441143817e+00,7.877502879779427758e-01,9.996993649574845708e-01
4.462186143389865189e-01,-4.535437402686303798e+00,7.843478313514899991e-01,9.974763889869696643e-01
4.636669605068818312e-01,-4.474004861354011986e+00,7.811349652509518293e-01,9.945680730070509679e-01
4.807662314682963900e-01,-4.412593920909761103e+00,7.779144725624674850e-01,9.910697651186499701e-01
4.975187843333944149e-01,-4.351203220819041206e+00,7.745136875709399682e-01,9.870627920910145514e-01
5.139269762123408469e-01,-4.289831400547341467e+00,7.707842115019800655e-01,9.826166751511450359e-01
5.299931642153000722e-01,-4.228477099560154606e+00,7.666043401887111530e-01,9.777909227291972094e-01
5.457197054524363100e-01,-4.167138957322973347e+00,7.618855305252454357e-01,9.726358419324392379e-01
5.611089570339143906e-01,-4.105815613301291300e+00,7.565793445311843612e-01,9.671939716184131397e-01
5.761632760698983668e-01,-4.044505706960595859e+00,7.506843810513739168e-01,9.615021929812129775e-01
5.908850196705527358e-01,-3.983207877766380633e+00,7.442490234102179247e-01,9.555951988887226856e-01
6.052765449460424385e-01,-3.921920765184138791e+00,7.373705121677623930e-01,9.495093368806004630e-01
6.193402090065314169e-01,-3.860643008679359500e+00,7.301779300976194431e-01,9.432942297419565358e-01
6.330783689621841681e-01,-3.799373247717535040e+00,7.228261890485747632e-01,9.370098452972422942e-01
6.464933819231655221e-01,-3.738110121764156801e+00,7.154732699433371534e-01,9.307331754163448156e-01
6.595876049996396429e-01,-3.676852270284716617e+00,7.082619252069833893e-01,9.245569549361458694e-01
6.723633953017708054e-01,-3.615598332744707211e+00,7.013043266033665013e-01,9.185843549738024194e-01
6.848231099397239507e-01,-3.554346948609618195e+00,6.946724742009630083e-01,9.129186467983410047e-01
6.969691060236633540e-01,-3.493096757344942738e+00,6.883955371755632324e-01,9.076502792207208348e-01
7.088037406637534010e-01,-3.431846398416170452e+00,6.824642648965270064e-01,9.028412670099000836e-01
7.203293709701587000e-01,-3.370594511288795392e+00,6.768407796462606596e-01,8.985101293822456148e-01
7.315483540530438589e-01,-3.309339735428308060e+00,6.714715331157466993e-01,8.946199024232672770e-01
7.424630470225725976e-01,-3.248080710300198515e+00,6.663005915444131233e-01,8.910711162691499210e-01
7.530758069889100792e-01,-3.186816075369960810e+00,6.612811518174528391e-01,8.877032254751884288e-01
7.633889910622206898e-01,-3.125544470103085448e+00,6.563831745386642380e-01,8.843044608198222800e-01
7.734049563526685933e-01,-3.064264533965064707e+00,6.515967357266537752e-01,8.806304450451322152e-01
7.831260599704188419e-01,-3.002974906421389090e+00,6.469310565329045026e-01,8.764301057091047342e-01
7.925546590256349333e-01,-2.941674226937550429e+00,6.424103287692696229e-01,8.714754106329545280e-01
8.016931106284822528e-01,-2.880361134979041005e+00,6.380675524471924875e-01,8.655908300627199736e-01
8.105437718891249643e-01,-2.819034270011351762e+00,6.339378480376285374e-01,8.586780810720034962e-01
8.191089999177272318e-01,-2.757692271499974535e+00,6.300524980680760612e-01,8.507318247999632321e-01
8.273911518244539964e-01,-2.696333778910401602e+00,6.264346986960288577e-01,8.418440715667360186e-01
8.353925847194695331e-01,-2.634957431708123909e+00,6.230964192025019166e-01,8.321953739239432712e-01
8.431156557129380058e-01,-2.573561869358631071e+00,6.200378711321701264e-01,8.220352988090033897e-01
8.505627219150245777e-01,-2.512145731327418918e+00,6.172484619979889953e-01,8.116545339535197190e-01
8.577361404358927466e-01,-2.450707657079975732e+00,6.147085596699473076e-01,8.013534536212667536e-01
8.646382683857077867e-01,-2.389246286081793791e+00,6.123919317290055231e-01,7.914126815559100470e-01
8.712714628746339729e-01,-2.327760257798365817e+00,6.102681445549829053e-01,7.820677908606017414e-01
8.776380810128351362e-01,-2.266248211695182757e+00,6.083049128042664622e-01,7.734941519374123331e-01
8.837404799104766617e-01,-2.204708787237735557e+00,6.064700690502697888e-01,7.658003803973094659e-01
8.895810166777228245e-01,-2.143140623891516494e+00,6.047323689026147253e-01,7.590294404039089615e-01
8.951620484247377885e-01,-2.081542361122016960e+00,6.030624246315051673e-01,7.531673301808103904e-01
9.004859322616859396e-01,-2.019912638394727900e+00,6.014328498725605154e-01,7.481546535295031664e-01
9.055550252987319970e-01,-1.958250095175141814e+00,5.998181089609081473e-01,7.438996077200142887e-01
9.103716846460402357e-01,-1.896553370928749871e+00,5.981942750489473992e-01,7.402894294722581758e-01
9.149382674137755966e-01,-1.834821105121044349e+00,5.965387805512267771e-01,7.372000272421137534e-01
9.192571307121019109e-01,-1.773051937217515972e+00,5.948303964720519366e-01,7.345029718179696410e-01
9.233306316511841194e-01,-1.711244506683658351e+00,5.930499058868886619e-01,7.320704239979289873e-01
9.271611273411860532e-01,-1.649397452984959545e+00,5.911804390771339124e-01,7.297796698709438923e-01
9.307509748922730974e-01,-1.587509415586912942e+00,5.892091087072006683e-01,7.275170417850521654e-01
9.341025314146089720e-01,-1.525579033955010821e+00,5.871276982661448596e-01,7.251833035220397461e-01
9.372181540183581738e-01,-1.463604947554743463e+00,5.849337237054859084e-01,7.227000178604386926e-01
9.401001998136859772e-01,-1.401585795851603811e+00,5.826310028281983522e-01,7.200159809664233856e-01
9.427510259107557689e-01,-1.339520218311082589e+00,5.802293382528426191e-01,7.171134475707577893e-01
9.451729894197324899e-01,-1.277406854398671854e+00,5.777439513937986382e-01,7.140136983483482691e-01
9.473684474507806375e-01,-1.215244343579862329e+00,5.751938902658663144e-01,7.107765762043616320e-01
9.493397571140648195e-01,-1.153031325320146294e+00,5.726002415288463654e-01,7.074973247379922059e-01
9.510892755197493109e-01,-1.090766439085015804e+00,5.699842071931608967e-01,7.042982416102437915e-01
9.526193597779984978e-01,-1.028448324339961584e+00,5.673652087225723450e-01,7.013163600490981420e-01
