x_m,y_m,throttle,heading_rad
3.977234084668710978e-01,-4.993507325265357011e+00,6.069796482510807500e-01,-4.788600056835961016e-01
4.198777615828730991e-01,-4.948746909022350593e+00,6.133114090710033439e-01,-4.654855121147554176e-01
4.413993785504851664e-01,-4.903695653621832129e+00,6.196034460602112270e-01,-4.522839915179828196e-01
4.622973485331846044e-01,-4.858364547501389907e+00,6.257939399437327799e-01,-4.392576921322839389e-01
4.825804798882539770e-01,-4.812765619432464170e+00,6.317656310790047414e-01,-4.264144716372348931e-01
5.022712619161522341e-01,-4.766878501596888640e+00,6.372566838220202756e-01,-4.137632425128059399e-01
5.213652345935044785e-01,-4.720744627428643092e+00,6.419793611715622905e-01,-4.013038896278617873e-01
5.398693443825433036e-01,-4.674381162111227894e+00,6.451377131889298733e-01,-3.890400814797192464e-01
5.577934479753283714e-01,-4.627798619385897538e+00,6.444076673924246101e-01,-3.769768137755888926e-01
5.751537114575178133e-01,-4.580990219366902316e+00,6.378190642000233224e-01,-3.651198710224303756e-01
5.919572934058990876e-01,-4.533972279790403626e+00,6.437304041125067045e-01,-3.534716166102287449e-01
6.082090935895502204e-01,-4.486768875358790432e+00,6.508644393547956541e-01,-3.420364279224272774e-01
6.239195672390174252e-01,-4.439389268386502607e+00,6.574456213508655944e-01,-3.308175984313621587e-01
6.391004899300984921e-01,-4.391838408244154834e+00,6.638009476350831273e-01,-3.198163433130374322e-01
6.537670360611964604e-01,-4.344109214381080442e+00,6.699797955885000711e-01,-3.090379714177875492e-01
6.679225908843112736e-01,-4.296232648781115770e+00,6.761433317322171899e-01,-2.984858955823661564e-01
6.815779526030096847e-01,-4.248216674714002217e+00,6.822941472194132828e-01,-2.881629785422086254e-01
6.947439240760160395e-01,-4.200069019590817909e+00,6.884619792979753683e-01,-2.780658289531596772e-01
7.074348634293778915e-01,-4.151783381630040459e+00,6.946920608753726079e-01,-2.682016645484972539e-01
7.196590861625559166e-01,-4.103375361545794853e+00,7.010011734045809018e-01,-2.585727933982084892e-01
7.314255900449634362e-01,-4.054858924478581983e+00,7.074048394099823334e-01,-2.491810053449852180e-01
7.427452985423147469e-01,-4.006240543661896858e+00,7.139216354358861594e-01,-2.400211604486821582e-01
7.536294403631316197e-01,-3.957524967400970706e+00,7.205595778260042161e-01,-2.310983535426869295e-01
7.640918589312299947e-01,-3.908703884824558106e+00,7.273296906940749373e-01,-2.224119540215685475e-01
7.741395797494412534e-01,-3.859800055751996251e+00,7.342414962332910466e-01,-2.139605718956429925e-01
7.837835186653457908e-01,-3.810818803778507124e+00,7.413064678512933936e-01,-2.057391711778053800e-01
7.930345580332092137e-01,-3.761765223687176363e+00,7.485236826371549634e-01,-1.977483655062770573e-01
8.019046822956925613e-01,-3.712637752553049175e+00,7.558996741919667972e-01,-1.899840111615245242e-01
8.104048715441228845e-01,-3.663439171959384399e+00,7.634513417667495583e-01,-1.824417713916590689e-01
8.185442435574902253e-01,-3.614183067193781351e+00,7.711883009239580700e-01,-1.751150509317864756e-01
8.263335901324113664e-01,-3.564873524928187098e+00,7.791176153141567973e-01,-1.679995709992125885e-01
8.337836644077477599e-01,-3.515514421601384942e+00,7.870864067609252279e-01,-1.610916865986926627e-01
8.409064631525698941e-01,-3.466100325162336127e+00,7.949753234678613723e-01,-1.543861349538151462e-01
8.477117624570437160e-01,-3.416640090834515142e+00,8.027867202052093587e-01,-1.478780030980120230e-01
8.542095699724582269e-01,-3.367141421384261868e+00,8.105228382672774456e-01,-1.415611546414015098e-01
8.604105179022798477e-01,-3.317607336453925360e+00,8.181858129837312754e-01,-1.354325829988498597e-01
8.663252016456177707e-01,-3.268040669071846427e+00,8.257776806034755612e-01,-1.294874112347919048e-01
8.719653141614822633e-01,-3.218433856010742389e+00,8.333003846140130122e-01,-1.237206538157922253e-01
8.773402389509245003e-01,-3.168798629705293912e+00,8.407557815518535982e-01,-1.181267889407806582e-01
8.824602929296174736e-01,-3.119138947448270027e+00,8.481456463531923395e-01,-1.127017304536410691e-01
8.873359551649451227e-01,-3.069456933214498306e+00,8.554716772885474496e-01,-1.074412697221098778e-01
8.919776743356107040e-01,-3.019754549732796889e+00,8.627355005202270721e-01,-1.023407274596506156e-01
8.963967447503902175e-01,-2.970023511757088119e+00,8.699386743172721204e-01,-9.739533950803469509e-02
